"Read_code","Term","Disease"
"C04y.00","Other acquired hypothyroidism","Thyroid Problem"
"C04z.00","Hypothyroidism NOS","Thyroid Problem"
"C04z.13","Hypothyroid goitre, acquired","Thyroid Problem"
"C04z000","Premature puberty due to hypothyroidism","Thyroid Problem"
"C04z100","Myxoedema coma","Thyroid Problem"
"C05..00","Thyroiditis","Thyroid Problem"
"C052.00","Chronic lymphocytic thyroiditis","Thyroid Problem"
"C052.11","Autoimmune thyroiditis","Thyroid Problem"
"C052.12","Hashimoto's disease","Thyroid Problem"
"C05y.00","Other and unspecified chronic thyroiditis","Thyroid Problem"
"C05y400","Chronic thyroiditis with transient thyrotoxicosis","Thyroid Problem"
"C05z.00","Thyroiditis NOS","Thyroid Problem"
"C06y100","Thyroid atrophy","Thyroid Problem"
"C134300","TSH - thyroid-stimulating hormone deficiency","Thyroid Problem"
"Cyu1300","[X]Other thyrotoxicosis","Thyroid Problem"
"Cyu1400","[X]Other chronic thyroiditis","Thyroid Problem"
"F381400","Myasthenic syndrome due to hypothyroidism","Thyroid Problem"
"1C2..00","Tinnitus symptoms","Chronic Tinnitus"
"1C23.00","Ringing in ear","Chronic Tinnitus"
"1C24.00","Hissing in ear","Chronic Tinnitus"
"1C2Z.00","Tinnitus symptom NOS","Chronic Tinnitus"
"F583.00","Tinnitus","Chronic Tinnitus"
"F583000","Unspecified tinnitus","Chronic Tinnitus"
"F583100","Subjective tinnitus","Chronic Tinnitus"
"F583200","Objective tinnitus","Chronic Tinnitus"
"F583z00","Tinnitus NOS","Chronic Tinnitus"
"G655.00","Transient global amnesia","Transient Ischaemic Attack"
"G656.00","Vertebrobasilar insufficiency","Transient Ischaemic Attack"
"14AB.00","H/O: TIA","Transient Ischaemic Attack"
"1B1S.00","Transient global amnesia","Transient Ischaemic Attack"
"F423600","Amaurosis fugax","Transient Ischaemic Attack"
"Fyu5500","[X]Other transnt cerebral ischaemic attacks+related syndroms","Transient Ischaemic Attack"
"G65..13","Vertebro-basilar insufficiency","Transient Ischaemic Attack"
"G650.11","Insufficiency - basilar artery","Transient Ischaemic Attack"
"G657.00","Carotid territory transient ischaemic attack","Transient Ischaemic Attack"
"N304100","Tuberculosis of thoracic spine","Tuberculosis"
"N304000","Tuberculosis of cervical spine","Tuberculosis"
"N304.11","Tuberculosis of spine","Tuberculosis"
"N304.00","Tuberculosis of spine (Pott's)","Tuberculosis"
"N018.00","Tuberculous arthritis","Tuberculosis"
"K43..00","Female tuberculous pelvic inflammatory disease","Tuberculosis"
"K214300","Prostatitis in tuberculosis","Tuberculosis"
"J550200","Peritonitis - tuberculous","Tuberculosis"
"H450.00","Pneumoconiosis associated with tuberculosis","Tuberculosis"
"G520600","Acute myocarditis - tuberculous","Tuberculosis"
"G500311","TB - acute pericarditis","Tuberculosis"
"G500300","Acute pericarditis - tuberculous","Tuberculosis"
"F4A5500","Keratitis due to tuberculosis","Tuberculosis"
"F041300","Tuberculous intraspinal abscess","Tuberculosis"
"F040600","Tuberculous intracranial abscess","Tuberculosis"
"F033311","Tuberculous encephalitis","Tuberculosis"
"AyuJ400","[X]Sequelae of respiratory and unspecified tuberculosis","Tuberculosis"
"AyuJ200","[X]Sequelae of tuberculosis of bones and joints","Tuberculosis"
"Ayu1900","[X]Miliary tuberculosis, unspecified","Tuberculosis"
"Ayu1800","[X]Other miliary tuberculosis","Tuberculosis"
"Ayu1600","[X]Tuberculosis of other specified organs","Tuberculosis"
"Ayu1400","[X]Other tuberculosis of nervous system","Tuberculosis"
"Ayu1000","[X]Other resp tubercul,confirmd bacteriologicly+histologicly","Tuberculosis"
"AE0z.00","Late effects of tuberculosis NOS","Tuberculosis"
"AE04.00","Late effects of tuberculosis of other specified organs","Tuberculosis"
"AE03.00","Late effects of tuberculosis of bones and joints","Tuberculosis"
"AE02.00","Late effects of genitourinary system tuberculosis","Tuberculosis"
"AE01.00","Late effects of central nervous system tuberculosis","Tuberculosis"
"AE00.00","Late effects of respiratory tuberculosis","Tuberculosis"
"AE0..00","Late effects of tuberculosis","Tuberculosis"
"A1z..00","Tuberculosis NOS","Tuberculosis"
"A1y..00","Other specified tuberculosis","Tuberculosis"
"A18z.00","Miliary tuberculosis NOS","Tuberculosis"
"A18y.00","Other specified miliary tuberculosis","Tuberculosis"
"A180100","Acute miliary tuberculosis of multiple sites","Tuberculosis"
"A180000","Acute miliary tuberculosis of a single specified site","Tuberculosis"
"A180.00","Acute miliary tuberculosis","Tuberculosis"
"A18..00","Miliary tuberculosis","Tuberculosis"
"A17z.00","Tuberculosis of other organs NOS","Tuberculosis"
"A17yz00","Tuberculosis of other specified organs NOS","Tuberculosis"
"A17y400","Tuberculosis of liver","Tuberculosis"
"A17y300","Tuberculosis of stomach","Tuberculosis"
"A17y200","Tuberculosis pericardium","Tuberculosis"
"A17y.00","Tuberculosis of other specified organs","Tuberculosis"
"A176.00","Tuberculosis of adrenal glands - Addison's disease","Tuberculosis"
"A175.00","Tuberculosis of thyroid gland","Tuberculosis"
"A174.00","Tuberculosis of ear","Tuberculosis"
"A173z00","Tuberculosis of eye NOS","Tuberculosis"
"A173400","Tuberculous keratoconjunctivitis","Tuberculosis"
"A173200","Tuberculous interstitial keratitis","Tuberculosis"
"A163.00","Tuberculosis of other urinary organs","Tuberculosis"
"A173100","Tuberculous episcleritis","Tuberculosis"
"A173000","Tuberculous chorioretinitis","Tuberculosis"
"A173.00","Tuberculosis of eye","Tuberculosis"
"A172z00","Tuberculosis of peripheral lymph nodes NOS","Tuberculosis"
"A172200","Tuberculous adenitis","Tuberculosis"
"A172100","Scrofulous tuberculous abscess","Tuberculosis"
"A172011","Scrofula - tuberculous cervical lymph nodes","Tuberculosis"
"A172.00","Tuberculosis of peripheral lymph nodes","Tuberculosis"
"A171z00","Erythema nodosum with tuberculosis NOS","Tuberculosis"
"A171100","Tuberculous erythema nodosum","Tuberculosis"
"A170z00","Tuberculosis of skin and subcutaneous tissue NOS","Tuberculosis"
"A170800","Tuberculosis verrucosa cutis","Tuberculosis"
"A170700","Tuberculosis papulonecrotica","Tuberculosis"
"A170600","Tuberculosis lichenoides","Tuberculosis"
"A170500","Tuberculosis cutis","Tuberculosis"
"A170300","Tuberculosis - lupus NOS","Tuberculosis"
"A170000","Tuberculosis - lupus exedens","Tuberculosis"
"A170.11","Lupus - tuberculous","Tuberculosis"
"A170.00","Tuberculosis of skin and subcutaneous tissue","Tuberculosis"
"A17..00","Tuberculosis of other organs","Tuberculosis"
"A16z.00","Genitourinary tuberculosis NOS","Tuberculosis"
"A168.00","Tuberculosis of urinary tract","Tuberculosis"
"A167z00","Tuberculosis of other female genital organs NOS","Tuberculosis"
"A167100","Tuberculous endometritis","Tuberculosis"
"A167000","Tuberculous cervicitis","Tuberculosis"
"A167.00","Tuberculosis of other female genital organs","Tuberculosis"
"A166z00","Tuberculous oophoritis or salpingitis NOS","Tuberculosis"
"A166111","Fallopian tube tuberculosis","Tuberculosis"
"A166100","Tuberculous salpingitis","Tuberculosis"
"A166000","Tuberculous oophoritis","Tuberculosis"
"A166.00","Tuberculous oophoritis or salpingitis","Tuberculosis"
"A165z00","Tuberculosis of other male genital organs NOS","Tuberculosis"
"A165200","Tuberculosis of testis","Tuberculosis"
"A165000","Tuberculosis of prostate","Tuberculosis"
"A165.00","Tuberculosis of other male genital organs","Tuberculosis"
"A164.00","Tuberculosis of epididymis","Tuberculosis"
"65V9.00","Notification of tuberculosis","Tuberculosis"
"65V9.11","TB - tuberculosis notification","Tuberculosis"
"65Y1.00","On tuberculosis chemoprophylaxis","Tuberculosis"
"65Y2.00","Streptomycin resistant tuberculosis","Tuberculosis"
"65Y5.00","Isoniazid resistant tuberculosis","Tuberculosis"
"65Y8.00","Ciprofloxacin resistant tuberculosis","Tuberculosis"
"65Y9.00","Inactive tuberculosis","Tuberculosis"
"8BAD100","TB chemotherapy","Tuberculosis"
"A1...00","Tuberculosis","Tuberculosis"
"A10..00","Primary tuberculous infection","Tuberculosis"
"A100.00","Primary tuberculous complex","Tuberculosis"
"A101.00","Tuberculous pleurisy in primary progressive tuberculosis","Tuberculosis"
"A10y.00","Other primary progressive tuberculosis","Tuberculosis"
"A10z.00","Primary tuberculous infection NOS","Tuberculosis"
"A11..00","Pulmonary tuberculosis","Tuberculosis"
"A110.00","Infiltrative lung tuberculosis","Tuberculosis"
"A111.00","Nodular lung tuberculosis","Tuberculosis"
"A112.00","Tuberculosis of lung with cavitation","Tuberculosis"
"A113.00","Tuberculosis of bronchus","Tuberculosis"
"A114.00","Tuberculous fibrosis of lung","Tuberculosis"
"A116.00","Tuberculous pneumonia","Tuberculosis"
"A117.00","Tuberculous pneumothorax","Tuberculosis"
"A11y.00","Other specified pulmonary tuberculosis","Tuberculosis"
"A11z.00","Pulmonary tuberculosis NOS","Tuberculosis"
"A12..00","Other respiratory tuberculosis","Tuberculosis"
"A120.00","Tuberculous pleurisy","Tuberculosis"
"A120000","Tuberculosis of pleura","Tuberculosis"
"A120100","Tuberculous empyema","Tuberculosis"
"A120200","Tuberculous hydrothorax","Tuberculosis"
"A120z00","Tuberculous pleurisy NOS","Tuberculosis"
"A121.00","Tuberculosis of intrathoracic lymph nodes","Tuberculosis"
"A121000","Tuberculosis of hilar lymph nodes","Tuberculosis"
"A121100","Tuberculosis of mediastinal lymph nodes","Tuberculosis"
"A121200","Tuberculosis of tracheobronchial lymph nodes","Tuberculosis"
"A121z00","Tuberculosis of intrathoracic lymph nodes NOS","Tuberculosis"
"A122.00","Isolated tracheal or bronchial tuberculosis","Tuberculosis"
"A122000","Isolated tracheal tuberculosis","Tuberculosis"
"A122100","Isolated bronchial tuberculosis","Tuberculosis"
"A122z00","Isolated tracheal or bronchial tuberculosis NOS","Tuberculosis"
"A123.00","Tuberculous laryngitis","Tuberculosis"
"A124.00","Resp TB bacteriologically and histologically confirmed","Tuberculosis"
"A124000","TB lung confirm sputum microscopy with or without culture","Tuberculosis"
"A124100","Tuberculosis of lung, confirmed by culture only","Tuberculosis"
"A124200","Tuberculosis of lung, confirmed histologically","Tuberculosis"
"A124300","Tuberculosis of lung, confirmed by unspecified means","Tuberculosis"
"A124500","Tuberculosis of larynx, trachea & bronchus conf bact/hist'y","Tuberculosis"
"A124600","Tuberculous pleurisy, conf bacteriologically/histologically","Tuberculosis"
"A125.00","Respiratory TB not confirmed bact or histologically","Tuberculosis"
"A125000","Tuberculosis of lung, bacteriologically & histolog'y neg","Tuberculosis"
"A125100","Tuberculosis lung bact and histological examin not done","Tuberculosis"
"A12y.00","Other specified respiratory tuberculosis","Tuberculosis"
"A12y000","Tuberculosis of mediastinum","Tuberculosis"
"A12y100","Tuberculosis of nasopharynx","Tuberculosis"
"A12y200","Tuberculosis of nasal septum","Tuberculosis"
"A12y300","Tuberculosis of nasal sinus","Tuberculosis"
"A12yz00","Other specified respiratory tuberculosis NOS","Tuberculosis"
"A130.00","Tuberculous meningitis","Tuberculosis"
"A130000","Tuberculosis of cerebral meninges","Tuberculosis"
"A130100","Tuberculosis of spinal meninges","Tuberculosis"
"A130300","Tuberculous meningoencephalitis","Tuberculosis"
"A130z00","Tuberculous meningitis NOS","Tuberculosis"
"A131.00","Tuberculoma of meninges","Tuberculosis"
"A132.00","Tuberculoma of brain","Tuberculosis"
"A133.00","Tuberculous abscess of brain","Tuberculosis"
"A134.00","Tuberculoma of spinal cord","Tuberculosis"
"A135.00","Tuberculous abscess of spinal cord","Tuberculosis"
"A136.00","Tuberculous encephalitis or myelitis","Tuberculosis"
"A136000","Tuberculous encephalitis","Tuberculosis"
"A136100","Tuberculous myelitis","Tuberculosis"
"A136z00","Tuberculous encephalitis or myelitis NOS","Tuberculosis"
"A13y.00","Other specified tuberculosis of central nervous system","Tuberculosis"
"A13z.00","Tuberculosis of central nervous system NOS","Tuberculosis"
"A14..00","Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberculosis"
"A140.00","Tuberculous peritonitis","Tuberculosis"
"A14y.00","Other gastrointestinal tract tuberculosis","Tuberculosis"
"A14y100","Tuberculosis of large intestine","Tuberculosis"
"A14y200","Tuberculosis of small intestine","Tuberculosis"
"A14y400","Tuberculosis of rectum","Tuberculosis"
"A14y500","Tuberculosis of retroperitoneal lymph nodes","Tuberculosis"
"A14yz00","Other gastrointestinal tract tuberculosis NOS","Tuberculosis"
"A14z.00","Tuberculosis of gastrointestinal tract NOS","Tuberculosis"
"A15..00","Tuberculosis of bones and joints","Tuberculosis"
"A15..12","Tuberculous arthritis","Tuberculosis"
"A15..13","Tuberculous synovitis","Tuberculosis"
"A150.00","Tuberculosis of vertebral column - Pott's","Tuberculosis"
"A151.00","Tuberculosis of hip","Tuberculosis"
"A152.00","Tuberculosis of knee","Tuberculosis"
"A153.00","Tuberculosis limb bones - Tuberculous dactylitis","Tuberculosis"
"A154.00","Tuberculous mastoiditis","Tuberculosis"
"A15x.00","Tuberculosis of other specified bones","Tuberculosis"
"A15y.00","Tuberculosis of other specified joint","Tuberculosis"
"A15z.00","Tuberculosis of bones or joints NOS","Tuberculosis"
"A16..00","Tuberculosis of genitourinary system","Tuberculosis"
"A160.00","Tuberculosis of kidney","Tuberculosis"
"A160.11","Renal tuberculosis","Tuberculosis"
"A160000","Tuberculous nephropathy","Tuberculosis"
"A160100","Tuberculous pyelitis","Tuberculosis"
"A160200","Tuberculous pyelonephritis","Tuberculosis"
"A160z00","Tuberculosis of kidney NOS","Tuberculosis"
"A161.00","Tuberculosis of bladder","Tuberculosis"
"A162.00","Tuberculosis of ureter","Tuberculosis"
"N304200","Tuberculosis of lumbar spine","Tuberculosis"
"N304300","Tuberculosis of sacrum/coccyx","Tuberculosis"
"N305.00","Tuberculosis of limb bones","Tuberculosis"
"N305000","Tuberculosis of unspecified limb bone","Tuberculosis"
"N305100","Tuberculosis of the upper arm bone","Tuberculosis"
"N305200","Tuberculosis of the forearm bone","Tuberculosis"
"N305300","Tuberculosis of the pelvic and thigh bones","Tuberculosis"
"N305400","Tuberculosis of the lower leg bone","Tuberculosis"
"N305500","Tuberculosis of other limb bones","Tuberculosis"
"N306.00","Tuberculosis of other bones","Tuberculosis"
"N306000","Tuberculosis of bone, site unspecified","Tuberculosis"
"N306100","Tuberculosis of the bones of the shoulder region","Tuberculosis"
"N306200","Tuberculosis of the bones of the hand","Tuberculosis"
"N306300","Tuberculosis of the bones of the ankle and foot","Tuberculosis"
"N306400","Tuberculosis of the bones of other sites","Tuberculosis"
"N306500","Tuberculosis of the bones of multiple sites","Tuberculosis"
"N306z00","Tuberculosis of bone NOS","Tuberculosis"
"Q402400","Congenital tuberculosis","Tuberculosis"
"ZV12A00","[V] Personal history of pulmonary tuberculosis","Tuberculosis"
"ZV12B00","[V] Personal history of tuberculosis","Tuberculosis"
"16F..00","Double incontinence","Urinary Incontinence"
"1A23.00","Incontinence of urine","Urinary Incontinence"
"1A26.00","Urge incontinence of urine","Urinary Incontinence"
"8C14.00","Incontinence care","Urinary Incontinence"
"8D7..12","Incontinence control","Urinary Incontinence"
"8D71.00","Incontinence control","Urinary Incontinence"
"8HTX.00","Referral to incontinence clinic","Urinary Incontinence"
"K198.00","Stress incontinence","Urinary Incontinence"
"Kyu5A00","[X]Other specified urinary incontinence","Urinary Incontinence"
"R083.00","[D]Incontinence of urine","Urinary Incontinence"
"R083100","[D]Urethral sphincter incontinence","Urinary Incontinence"
"R083200","[D] Urge incontinence","Urinary Incontinence"
"R083z00","[D]Incontinence of urine NOS","Urinary Incontinence"
"14D3.00","H/O: urinary stone","Urolithiasis"
"4G43.00","O/E: uric acid renal calculus","Urolithiasis"
"4G44.00","O/E: cystine renal calculus","Urolithiasis"
"4G6..00","O/E - ureteric calculus","Urolithiasis"
"4G7..00","O/E - urethral calculus","Urolithiasis"
"4G8..00","O/E - bladder calculus","Urolithiasis"
"4G81.00","O/E - vesical oxalate calculus","Urolithiasis"
"4G82.00","O/E-vesical uric acid calculus","Urolithiasis"
"4G83.00","O/E-vesical phosphate calculus","Urolithiasis"
"4G8Z.00","O/E - bladder calculus NOS","Urolithiasis"
"7B05000","Unspecified open removal of calculus from kidney","Urolithiasis"
"7B07000","Nephroscopy and ultrasound lithotripsy of renal calculus","Urolithiasis"
"7B0B.00","Extracorporeal shockwave lithotripsy for renal calculus","Urolithiasis"
"7B0B.11","Extracorporeal fragmentation of renal calculus","Urolithiasis"
"M28y100","Menstrual urticaria","Chronic Urticaria"
"2F8..00","O/E - weals present","Chronic Urticaria"
"2F82.00","O/E - weals present","Chronic Urticaria"
"2F8Z.00","O/E - weals NOS","Chronic Urticaria"
"M12A200","Solar urticaria","Chronic Urticaria"
"M28..00","Urticaria","Chronic Urticaria"
"M280.00","Allergic urticaria","Chronic Urticaria"
"M281.00","Idiopathic urticaria","Chronic Urticaria"
"M282.00","Urticaria due to cold and heat","Chronic Urticaria"
"M282000","Cold urticaria","Chronic Urticaria"
"M282100","Thermal urticaria","Chronic Urticaria"
"M282z00","Urticaria due to cold and heat NOS","Chronic Urticaria"
"M283.00","Dermatographic urticaria","Chronic Urticaria"
"M283.11","Factitial urticaria","Chronic Urticaria"
"M284.00","Vibratory urticaria","Chronic Urticaria"
"M285.00","Cholinergic urticaria","Chronic Urticaria"
"M286.00","Contact urticaria","Chronic Urticaria"
"M287.00","Physical urticaria","Chronic Urticaria"
"M28y.00","Other specified urticaria","Chronic Urticaria"
"M28y.11","Nettle rash","Chronic Urticaria"
"M28y000","Urticaria geographica","Chronic Urticaria"
"M28y200","Urticaria persistans","Chronic Urticaria"
"M28yz00","Other specified urticaria NOS","Chronic Urticaria"
"M28z.00","Urticaria NOS","Chronic Urticaria"
"M28z.11","Hives","Chronic Urticaria"
"Myu4.00","[X]Urticaria and erythema","Chronic Urticaria"
"Myu4000","[X]Other urticaria","Chronic Urticaria"
"PH32100","Urticaria pigmentosa","Chronic Urticaria"
"K510400","Vaginal prolapse unspecified without uterine prolapse","Uterovaginal Genital Prolapse"
"7D18.11","Colporrhaphy","Uterovaginal Genital Prolapse"
"7D18000","Anterior and posterior colporrhaphy NEC","Uterovaginal Genital Prolapse"
"7D18011","Anterior and posterior repair","Uterovaginal Genital Prolapse"
"7D18100","Anterior colporrhaphy NEC","Uterovaginal Genital Prolapse"
"7D18111","Anterior repair","Uterovaginal Genital Prolapse"
"7D18200","Posterior colporrhaphy NEC","Uterovaginal Genital Prolapse"
"7D18300","Repair of enterocele NEC","Uterovaginal Genital Prolapse"
"7D18312","Moschowitz repair of enterocele","Uterovaginal Genital Prolapse"
"7D18400","Colporrhaphy NEC","Uterovaginal Genital Prolapse"
"7D18500","Anterior mesh vaginal repair","Uterovaginal Genital Prolapse"
"7D18600","Paravaginal repair","Uterovaginal Genital Prolapse"
"7D18800","Posterior colporrhaphy with mesh reinforcement","Uterovaginal Genital Prolapse"
"7D18y00","Other specified other repair of vaginal prolapse","Uterovaginal Genital Prolapse"
"7D18z00","Other repair of vaginal prolapse NOS","Uterovaginal Genital Prolapse"
"K510300","Urethrocele without uterine prolapse","Uterovaginal Genital Prolapse"
"K516.11","Pelvic enterocele","Uterovaginal Genital Prolapse"
"K510z00","Vaginal prolapse without uterine prolapse NOS","Uterovaginal Genital Prolapse"
"K511.00","Uterine prolapse without vaginal wall prolapse","Uterovaginal Genital Prolapse"
"K511.11","Descens uteri","Uterovaginal Genital Prolapse"
"K511000","First degree uterine prolapse","Uterovaginal Genital Prolapse"
"K511100","Second degree uterine prolapse","Uterovaginal Genital Prolapse"
"K511200","Third degree uterine prolapse","Uterovaginal Genital Prolapse"
"K511z00","Uterine prolapse without vaginal wall prolapse NOS","Uterovaginal Genital Prolapse"
"K512.00","Uterovaginal prolapse, incomplete","Uterovaginal Genital Prolapse"
"K512000","Cystocele with first degree uterine prolapse","Uterovaginal Genital Prolapse"
"K512100","Cystocele with second degree uterine prolapse","Uterovaginal Genital Prolapse"
"K513.00","Uterovaginal prolapse, complete","Uterovaginal Genital Prolapse"
"K513000","Cystocele with third degree uterine prolapse","Uterovaginal Genital Prolapse"
"K514.00","Uterovaginal prolapse, unspecified","Uterovaginal Genital Prolapse"
"K514000","Cystocele with unspecified uterine prolapse","Uterovaginal Genital Prolapse"
"K516.00","Vaginal enterocele","Uterovaginal Genital Prolapse"
"7D19.00","Repair of vault of vagina","Uterovaginal Genital Prolapse"
"K516100","Acquired vaginal enterocele","Uterovaginal Genital Prolapse"
"K516z00","Vaginal enterocele NOS","Uterovaginal Genital Prolapse"
"K517.00","Old laceration of pelvic floor muscle","Uterovaginal Genital Prolapse"
"K519.00","Cystocele","Uterovaginal Genital Prolapse"
"K51y.00","Other genital prolapse","Uterovaginal Genital Prolapse"
"K51y000","Incompetence of pelvic fundus","Uterovaginal Genital Prolapse"
"K51y100","Weakening of pelvic fundus","Uterovaginal Genital Prolapse"
"K51y300","Relaxation of pelvis","Uterovaginal Genital Prolapse"
"K51yz00","Other genital prolapse NOS","Uterovaginal Genital Prolapse"
"K51z.00","Genital prolapse NOS","Uterovaginal Genital Prolapse"
"Kyu9100","[X]Other female genital prolapse","Uterovaginal Genital Prolapse"
"7D19100","Repair of vault of vagina using abdominal approach NEC","Uterovaginal Genital Prolapse"
"7D19200","Repair of vault of vagina using vaginal approach NEC","Uterovaginal Genital Prolapse"
"7D19300","Sacrocolpopexy","Uterovaginal Genital Prolapse"
"7D19400","Suspension of vagina NEC","Uterovaginal Genital Prolapse"
"7D19500","Sacrospinous fixation of vaginal vault","Uterovaginal Genital Prolapse"
"7D19700","Repair of vault of vagina with mesh using vaginal approach","Uterovaginal Genital Prolapse"
"7D19y00","Other specified repair of vault of vagina","Uterovaginal Genital Prolapse"
"7D19z00","Repair of vault of vagina NOS","Uterovaginal Genital Prolapse"
"7D1A411","Colpoperineorrhaphy","Uterovaginal Genital Prolapse"
"7D1B.00","Introduction of supporting pessary into vagina","Uterovaginal Genital Prolapse"
"7D1B000","Insertion of Hodge pessary into vagina","Uterovaginal Genital Prolapse"
"7D1B200","Removal of supporting pessary from vagina","Uterovaginal Genital Prolapse"
"7D1B400","Removal of ring pessary from vagina","Uterovaginal Genital Prolapse"
"7D1B500","Renewal of supporting pessary in vagina","Uterovaginal Genital Prolapse"
"7D1B600","Insertion of ring pessary into vagina","Uterovaginal Genital Prolapse"
"7D1By00","Introduction of supporting pessary into vagina OS","Uterovaginal Genital Prolapse"
"7D1Bz00","Introduction of supporting pessary into vagina NOS","Uterovaginal Genital Prolapse"
"K51..00","Genital prolapse","Uterovaginal Genital Prolapse"
"K510.00","Vaginal wall prolapse without uterine prolapse","Uterovaginal Genital Prolapse"
"K510000","Cystocele without uterine prolapse","Uterovaginal Genital Prolapse"
"K510100","Cystourethrocele without uterine prolapse","Uterovaginal Genital Prolapse"
"7D19600","Repair of vault of vagina with mesh using abdominal approach","Uterovaginal Genital Prolapse"
"7D17.00","Repair of vaginal prolapse and amputation of cervix uteri","Uterovaginal Genital Prolapse"
"7D17.11","Colporrhaphy and amputation of cervix uteri","Uterovaginal Genital Prolapse"
"7D17000","Ant and post colporrhaphy and amputation of cervix uteri","Uterovaginal Genital Prolapse"
"7D17100","Anterior colporrhaphy and amputation of cervix uteri NEC","Uterovaginal Genital Prolapse"
"7D17200","Posterior colporrhaphy and amputation of cervix uteri NEC","Uterovaginal Genital Prolapse"
"7D17z11","Manchester repair","Uterovaginal Genital Prolapse"
"7D18.00","Other repair of vaginal prolapse","Uterovaginal Genital Prolapse"
"G131.00","Mitral stenosis and aortic insufficiency","Valve disorder non-rheumatic multiple"
"G131.14","Mitral stenosis and aortic regurgitation","Valve disorder non-rheumatic multiple"
"G132.00","Mitral insufficiency and aortic stenosis","Valve disorder non-rheumatic multiple"
"G132.12","Mitral incompetence and aortic stenosis","Valve disorder non-rheumatic multiple"
"G132.13","Mitral regurgitation and aortic stenosis","Valve disorder non-rheumatic multiple"
"G133.00","Mitral and aortic incompetence","Valve disorder non-rheumatic multiple"
"G133.11","Mitral and aortic insufficiency","Valve disorder non-rheumatic multiple"
"G544100","Disorders of both mitral and tricuspid valves","Valve disorder non-rheumatic multiple"
"G133.12","Mitral and aortic regurgitation","Valve disorder non-rheumatic multiple"
"G13y.00","Multiple mitral and aortic valve involvement","Valve disorder non-rheumatic multiple"
"G13z.00","Mitral and aortic valve disease NOS","Valve disorder non-rheumatic multiple"
"G544.00","Multiple valve diseases","Valve disorder non-rheumatic multiple"
"G131.13","Mitral stenosis and aortic incompetence","Valve disorder non-rheumatic multiple"
"G544200","Combined disorders of mitral, aortic and tricuspid valves","Valve disorder non-rheumatic multiple"
"G544000","Disorders of both aortic and tricuspid valves","Valve disorder non-rheumatic multiple"
"G13..00","Diseases of mitral and aortic valves","Valve disorder non-rheumatic multiple"
"G130.00","Mitral and aortic stenosis","Valve disorder non-rheumatic multiple"
"F49z.00","Visual loss NOS","Visual Impairment and Blindness"
"F49z.11","Acquired blindness","Visual Impairment and Blindness"
"F49z000","Charles Bonnet syndrome","Visual Impairment and Blindness"
"F4H7300","Cortical blindness","Visual Impairment and Blindness"
"FyuL.00","[X]Visual disturbances and blindness","Visual Impairment and Blindness"
"ZV41000","[V]Problems with sight","Visual Impairment and Blindness"
"2B6A.11","O/E - blind R-eye","Visual Impairment and Blindness"
"2B6S.00","O/E - pinhole R-eye completely blind","Visual Impairment and Blindness"
"2B7A.11","O/E - blind L-eye","Visual Impairment and Blindness"
"2B7B.00","O/E - L-eye completely blind","Visual Impairment and Blindness"
"2B7S.00","O/E - pinhole L-eye completely blind","Visual Impairment and Blindness"
"F49y.00","Visual loss, one eye, unqualified","Visual Impairment and Blindness"
"2B6B.00","O/E - R-eye completely blind","Visual Impairment and Blindness"
"8F6..11","Blind rehabilitation","Visual Impairment and Blindness"
"8F61.00","Blind rehabilitation","Visual Impairment and Blindness"
"F404100","Blind hypotensive eye","Visual Impairment and Blindness"
"F49..11","Impaired vision","Visual Impairment and Blindness"
"F49..13","Partial sight","Visual Impairment and Blindness"
"F490100","Both eyes total visual impairment","Visual Impairment and Blindness"
"F490900","Acquired blindness, both eyes","Visual Impairment and Blindness"
"F490z00","Blindness both eyes NOS","Visual Impairment and Blindness"
"F491000","One eye blind, one eye low vision","Visual Impairment and Blindness"
"F491z00","One eye blind, one eye low vision NOS","Visual Impairment and Blindness"
"F49..14","Sight impaired","Visual Impairment and Blindness"
"F492.00","Low vision, both eyes","Visual Impairment and Blindness"
"F492000","Low vision, both eyes unspecified","Visual Impairment and Blindness"
"F492z00","Low vision, both eyes NOS","Visual Impairment and Blindness"
"F493.00","Visual loss, both eyes unqualified","Visual Impairment and Blindness"
"F494.00","Legal blindness USA","Visual Impairment and Blindness"
"F495.00","Profound impairment, one eye","Visual Impairment and Blindness"
"F495000","Blindness, one eye, unspecified","Visual Impairment and Blindness"
"F495100","Lesser eye: total visual impairment, Better eye: unspecified","Visual Impairment and Blindness"
"F495600","Lesser eye: near total VI, Better eye: normal vision","Visual Impairment and Blindness"
"F495A00","Acquired blindness, one eye","Visual Impairment and Blindness"
"F495z00","Profound impairment one eye NOS","Visual Impairment and Blindness"
"F496.00","Low vision, one eye","Visual Impairment and Blindness"
"F496000","Low vision, one eye, unspecified","Visual Impairment and Blindness"
"F496z00","Low vision, one eye NOS","Visual Impairment and Blindness"
"F490000","Unspecified blindness both eyes","Visual Impairment and Blindness"
"M295100","Vitiligo","Vitiligo"
"F4E5311","Vitiligo of eyelid","Vitiligo"
"14G1.00","H/O: rheumatoid arthritis","Rheumatoid Arthritis"
"2G25.00","O/E - hands - ulnar deviation","Rheumatoid Arthritis"
"2G25.11","O/E - ulnar deviation","Rheumatoid Arthritis"
"2G27.00","O/E-hands-rheumatoid spindling","Rheumatoid Arthritis"
"66H..13","Rheumatoid arthrit. monitoring","Rheumatoid Arthritis"
